Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_89\trained_model,bs=64_perturb=True_lr=1e-04,0.786,0.938,0.810,0.938,0.807,0.843,0.862,0.872,0.826,0.835,0.561,0.173,0.157
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_9\trained_model,bs=64_perturb=True_lr=1e-04,0.925,0.648,0.758,0.767,0.988,0.859,0.846,0.818,0.808,0.838,0.460,0.189,0.187
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_90\trained_model,bs=64_perturb=True_lr=1e-04,0.525,1.000,0.657,0.262,0.153,0.174,0.394,0.577,0.416,0.537,0.287,0.473,0.661
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_91\trained_model,bs=64_perturb=True_lr=1e-04,0.950,0.343,0.456,0.657,1.000,0.782,0.803,0.671,0.619,0.716,0.263,0.329,0.361
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_92\trained_model,bs=64_perturb=True_lr=1e-04,0.916,0.620,0.733,0.759,0.987,0.853,0.837,0.804,0.793,0.828,0.448,0.197,0.181
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_93\trained_model,bs=64_perturb=True_lr=1e-04,0.496,1.000,0.636,0.147,0.083,0.095,0.322,0.542,0.366,0.503,0.262,0.509,0.684
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_94\trained_model,bs=64_perturb=True_lr=1e-04,0.655,0.994,0.741,0.978,0.464,0.523,0.817,0.729,0.632,0.675,0.396,0.327,0.374
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_95\trained_model,bs=64_perturb=True_lr=1e-04,0.504,1.000,0.642,0.208,0.103,0.119,0.356,0.551,0.380,0.512,0.266,0.499,0.681
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_96\trained_model,bs=64_perturb=True_lr=1e-04,0.918,0.815,0.860,0.883,0.979,0.926,0.900,0.897,0.893,0.917,0.634,0.098,0.081
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_97\trained_model,bs=64_perturb=True_lr=1e-04,0.516,1.000,0.650,0.249,0.129,0.147,0.383,0.565,0.399,0.525,0.273,0.485,0.673
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_98\trained_model,bs=64_perturb=True_lr=1e-04,0.669,0.985,0.750,0.987,0.530,0.622,0.828,0.758,0.686,0.709,0.388,0.300,0.302
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_99\trained_model,bs=64_perturb=True_lr=1e-04,0.564,0.989,0.676,0.341,0.226,0.240,0.452,0.608,0.458,0.567,0.308,0.439,0.630
